// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 4 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// ***** Done, took 00:00:00 (0.15 sec)   *****
// Found 4 benchmarks:
//   BaseBenchmark.BasePingAsync: InProcess(Toolchain=InProcessEmitToolchain)
//   BaseBenchmark.BasePing: InProcess(Toolchain=InProcessEmitToolchain)
//   BaseBenchmark.CustomPingAsync: InProcess(Toolchain=InProcessEmitToolchain)
//   BaseBenchmark.CustomPing: InProcess(Toolchain=InProcessEmitToolchain)

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: BaseBenchmark.BasePingAsync: InProcess(Toolchain=InProcessEmitToolchain)
// *** Execute ***
// Launch: 1 / 1

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0-preview4-27615-11 (CoreCLR 4.6.27615.73, CoreFX 4.700.19.21213), 64bit RyuJIT
// GC=Concurrent Server
// Job: Job-NJKNFH(Toolchain=InProcessEmitToolchain)

WorkloadResult   3: 8388608 op, 684957900.00 ns, 81.6533 ns/op
WorkloadResult   4: 8388608 op, 684685100.00 ns, 81.6208 ns/op
WorkloadResult   5: 8388608 op, 683665500.00 ns, 81.4993 ns/op
WorkloadResult   6: 8388608 op, 691523000.00 ns, 82.4360 ns/op
WorkloadResult   7: 8388608 op, 686562900.00 ns, 81.8447 ns/op
WorkloadResult   8: 8388608 op, 688222500.00 ns, 82.0425 ns/op
WorkloadResult   9: 8388608 op, 682811100.00 ns, 81.3974 ns/op
WorkloadResult  10: 8388608 op, 686358300.00 ns, 81.8203 ns/op
WorkloadResult  11: 8388608 op, 688304200.00 ns, 82.0523 ns/op
WorkloadResult  12: 8388608 op, 689704400.00 ns, 82.2192 ns/op
WorkloadResult  13: 8388608 op, 695344000.00 ns, 82.8915 ns/op
WorkloadResult  14: 8388608 op, 683688300.00 ns, 81.5020 ns/op
GC:  32 0 0 603979776 8388608


Mean = 81.9484 ns, StdErr = 0.1125 ns (0.14%); N = 14, StdDev = 0.4208 ns
Min = 81.3974 ns, Q1 = 81.6208 ns, Median = 81.8997 ns, Q3 = 82.2192 ns, Max = 82.8915 ns
IQR = 0.5983 ns, LowerFence = 80.7233 ns, UpperFence = 83.1167 ns
ConfidenceInterval = [81.4737 ns; 82.4231 ns] (CI 99.9%), Margin = 0.4747 ns (0.58% of Mean)
Skewness = 0.6, Kurtosis = 2.44, MValue = 2

// **************************
// Benchmark: BaseBenchmark.BasePing: InProcess(Toolchain=InProcessEmitToolchain)
// *** Execute ***
// Launch: 1 / 1

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0-preview4-27615-11 (CoreCLR 4.6.27615.73, CoreFX 4.700.19.21213), 64bit RyuJIT
// GC=Concurrent Server
// Job: Job-NJKNFH(Toolchain=InProcessEmitToolchain)

OverheadJitting  1: 1 op, 445900.00 ns, 445.9000 us/op
WorkloadJitting  1: 1 op, 677000.00 ns, 677.0000 us/op

OverheadJitting  2: 16 op, 1065800.00 ns, 66.6125 us/op
WorkloadJitting  2: 16 op, 1016000.00 ns, 63.5000 us/op

WorkloadPilot    1: 16 op, 5000.00 ns, 312.5000 ns/op
WorkloadPilot    2: 32 op, 3500.00 ns, 109.3750 ns/op
WorkloadPilot    3: 64 op, 4000.00 ns, 62.5000 ns/op
WorkloadPilot    4: 128 op, 12800.00 ns, 100.0000 ns/op
WorkloadPilot    5: 256 op, 11400.00 ns, 44.5312 ns/op
WorkloadPilot    6: 512 op, 16300.00 ns, 31.8359 ns/op
WorkloadPilot    7: 1024 op, 31300.00 ns, 30.5664 ns/op
WorkloadPilot    8: 2048 op, 81800.00 ns, 39.9414 ns/op
WorkloadPilot    9: 4096 op, 117100.00 ns, 28.5889 ns/op
WorkloadPilot   10: 8192 op, 233200.00 ns, 28.4668 ns/op
WorkloadPilot   11: 16384 op, 485900.00 ns, 29.6570 ns/op
WorkloadPilot   12: 32768 op, 930700.00 ns, 28.4027 ns/op
WorkloadPilot   13: 65536 op, 1944400.00 ns, 29.6692 ns/op
WorkloadPilot   14: 131072 op, 3706900.00 ns, 28.2814 ns/op
WorkloadPilot   15: 262144 op, 7423000.00 ns, 28.3165 ns/op
WorkloadPilot   16: 524288 op, 15028900.00 ns, 28.6654 ns/op
WorkloadPilot   17: 1048576 op, 29924900.00 ns, 28.5386 ns/op
WorkloadPilot   18: 2097152 op, 59864400.00 ns, 28.5456 ns/op
WorkloadPilot   19: 4194304 op, 118596700.00 ns, 28.2757 ns/op
WorkloadPilot   20: 8388608 op, 237871100.00 ns, 28.3564 ns/op
WorkloadPilot   21: 16777216 op, 479531200.00 ns, 28.5823 ns/op
WorkloadPilot   22: 33554432 op, 950491100.00 ns, 28.3268 ns/op

OverheadWarmup   1: 33554432 op, 181751000.00 ns, 5.4166 ns/op
OverheadWarmup   2: 33554432 op, 181537100.00 ns, 5.4102 ns/op
OverheadWarmup   3: 33554432 op, 182127000.00 ns, 5.4278 ns/op
OverheadWarmup   4: 33554432 op, 184188400.00 ns, 5.4892 ns/op
OverheadWarmup   5: 33554432 op, 181375800.00 ns, 5.4054 ns/op
OverheadWarmup   6: 33554432 op, 181922500.00 ns, 5.4217 ns/op
OverheadWarmup   7: 33554432 op, 181182000.00 ns, 5.3996 ns/op

OverheadActual   1: 33554432 op, 181865000.00 ns, 5.4200 ns/op
OverheadActual   2: 33554432 op, 181625200.00 ns, 5.4129 ns/op
OverheadActual   3: 33554432 op, 181451200.00 ns, 5.4077 ns/op
OverheadActual   4: 33554432 op, 181593600.00 ns, 5.4119 ns/op
OverheadActual   5: 33554432 op, 181618500.00 ns, 5.4127 ns/op
OverheadActual   6: 33554432 op, 181538300.00 ns, 5.4103 ns/op
OverheadActual   7: 33554432 op, 181481700.00 ns, 5.4086 ns/op
OverheadActual   8: 33554432 op, 181717000.00 ns, 5.4156 ns/op
OverheadActual   9: 33554432 op, 181598800.00 ns, 5.4121 ns/op
OverheadActual  10: 33554432 op, 181346300.00 ns, 5.4045 ns/op
OverheadActual  11: 33554432 op, 181522800.00 ns, 5.4098 ns/op
OverheadActual  12: 33554432 op, 181741500.00 ns, 5.4163 ns/op
OverheadActual  13: 33554432 op, 181549200.00 ns, 5.4106 ns/op
OverheadActual  14: 33554432 op, 181962100.00 ns, 5.4229 ns/op
OverheadActual  15: 33554432 op, 181553800.00 ns, 5.4107 ns/op

WorkloadWarmup   1: 33554432 op, 953580200.00 ns, 28.4189 ns/op
WorkloadWarmup   2: 33554432 op, 960669700.00 ns, 28.6302 ns/op
WorkloadWarmup   3: 33554432 op, 949420400.00 ns, 28.2949 ns/op
WorkloadWarmup   4: 33554432 op, 950035500.00 ns, 28.3133 ns/op
WorkloadWarmup   5: 33554432 op, 967241300.00 ns, 28.8260 ns/op
WorkloadWarmup   6: 33554432 op, 950797700.00 ns, 28.3360 ns/op

WorkloadActual   1: 33554432 op, 950085700.00 ns, 28.3148 ns/op
WorkloadActual   2: 33554432 op, 950245800.00 ns, 28.3195 ns/op
WorkloadActual   3: 33554432 op, 960952700.00 ns, 28.6386 ns/op
WorkloadActual   4: 33554432 op, 950634400.00 ns, 28.3311 ns/op
WorkloadActual   5: 33554432 op, 949218800.00 ns, 28.2889 ns/op
WorkloadActual   6: 33554432 op, 950337700.00 ns, 28.3223 ns/op
WorkloadActual   7: 33554432 op, 949552000.00 ns, 28.2989 ns/op
WorkloadActual   8: 33554432 op, 950216800.00 ns, 28.3187 ns/op
WorkloadActual   9: 33554432 op, 950245200.00 ns, 28.3195 ns/op
WorkloadActual  10: 33554432 op, 955314900.00 ns, 28.4706 ns/op
WorkloadActual  11: 33554432 op, 948970700.00 ns, 28.2815 ns/op
WorkloadActual  12: 33554432 op, 950737300.00 ns, 28.3342 ns/op
WorkloadActual  13: 33554432 op, 949889200.00 ns, 28.3089 ns/op
WorkloadActual  14: 33554432 op, 950295400.00 ns, 28.3210 ns/op
WorkloadActual  15: 33554432 op, 952297200.00 ns, 28.3807 ns/op

WorkloadResult   1: 33554432 op, 768492100.00 ns, 22.9028 ns/op
WorkloadResult   2: 33554432 op, 768652200.00 ns, 22.9076 ns/op
WorkloadResult   3: 33554432 op, 769040800.00 ns, 22.9192 ns/op
WorkloadResult   4: 33554432 op, 767625200.00 ns, 22.8770 ns/op
WorkloadResult   5: 33554432 op, 768744100.00 ns, 22.9104 ns/op
WorkloadResult   6: 33554432 op, 767958400.00 ns, 22.8869 ns/op
WorkloadResult   7: 33554432 op, 768623200.00 ns, 22.9068 ns/op
WorkloadResult   8: 33554432 op, 768651600.00 ns, 22.9076 ns/op
WorkloadResult   9: 33554432 op, 767377100.00 ns, 22.8696 ns/op
WorkloadResult  10: 33554432 op, 769143700.00 ns, 22.9223 ns/op
WorkloadResult  11: 33554432 op, 768295600.00 ns, 22.8970 ns/op
WorkloadResult  12: 33554432 op, 768701800.00 ns, 22.9091 ns/op
GC:  0 0 0 0 33554432


Mean = 22.9014 ns, StdErr = 0.0046 ns (0.02%); N = 12, StdDev = 0.0160 ns
Min = 22.8696 ns, Q1 = 22.8920 ns, Median = 22.9072 ns, Q3 = 22.9097 ns, Max = 22.9223 ns
IQR = 0.0178 ns, LowerFence = 22.8653 ns, UpperFence = 22.9364 ns
ConfidenceInterval = [22.8808 ns; 22.9219 ns] (CI 99.9%), Margin = 0.0206 ns (0.09% of Mean)
Skewness = -0.66, Kurtosis = 2.16, MValue = 2

// **************************
// Benchmark: BaseBenchmark.CustomPingAsync: InProcess(Toolchain=InProcessEmitToolchain)
// *** Execute ***
// Launch: 1 / 1

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0-preview4-27615-11 (CoreCLR 4.6.27615.73, CoreFX 4.700.19.21213), 64bit RyuJIT
// GC=Concurrent Server
// Job: Job-NJKNFH(Toolchain=InProcessEmitToolchain)

OverheadJitting  1: 1 op, 452800.00 ns, 452.8000 us/op
WorkloadJitting  1: 1 op, 4963500.00 ns, 4.9635 ms/op

OverheadJitting  2: 16 op, 1136200.00 ns, 71.0125 us/op
WorkloadJitting  2: 16 op, 1656900.00 ns, 103.5563 us/op

WorkloadPilot    1: 16 op, 23300.00 ns, 1.4563 us/op
WorkloadPilot    2: 32 op, 31800.00 ns, 993.7500 ns/op
WorkloadPilot    3: 64 op, 23500.00 ns, 367.1875 ns/op
WorkloadPilot    4: 128 op, 47900.00 ns, 374.2188 ns/op
WorkloadPilot    5: 256 op, 108400.00 ns, 423.4375 ns/op
WorkloadPilot    6: 512 op, 134400.00 ns, 262.5000 ns/op
WorkloadPilot    7: 1024 op, 246600.00 ns, 240.8203 ns/op
WorkloadPilot    8: 2048 op, 511800.00 ns, 249.9023 ns/op
WorkloadPilot    9: 4096 op, 997400.00 ns, 243.5059 ns/op
WorkloadPilot   10: 8192 op, 2257000.00 ns, 275.5127 ns/op
WorkloadPilot   11: 16384 op, 3768000.00 ns, 229.9805 ns/op
WorkloadPilot   12: 32768 op, 7756300.00 ns, 236.7035 ns/op
WorkloadPilot   13: 65536 op, 15592000.00 ns, 237.9150 ns/op
WorkloadPilot   14: 131072 op, 36720500.00 ns, 280.1552 ns/op
WorkloadPilot   15: 262144 op, 51036300.00 ns, 194.6880 ns/op
