// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 3 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// ***** Done, took 00:00:00 (0.13 sec)   *****
// Found 3 benchmarks:
//   BaseBenchmark.BasePingAsync: InProcess(Toolchain=InProcessEmitToolchain)
//   BaseBenchmark.BasePing: InProcess(Toolchain=InProcessEmitToolchain)
//   BaseBenchmark.CustomPingAsync: InProcess(Toolchain=InProcessEmitToolchain)

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: BaseBenchmark.BasePingAsync: InProcess(Toolchain=InProcessEmitToolchain)
// *** Execute ***
// Launch: 1 / 1

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0-preview4-27615-11 (CoreCLR 4.6.27615.73, CoreFX 4.700.19.21213), 64bit RyuJIT
// GC=Concurrent Server
// Job: Job-KAAKYE(Toolchain=InProcessEmitToolchain)

WorkloadResult   3: 8388608 op, 596333100.00 ns, 71.0884 ns/op
WorkloadResult   4: 8388608 op, 590688600.00 ns, 70.4156 ns/op
WorkloadResult   5: 8388608 op, 596391400.00 ns, 71.0954 ns/op
WorkloadResult   6: 8388608 op, 593656000.00 ns, 70.7693 ns/op
WorkloadResult   7: 8388608 op, 601906100.00 ns, 71.7528 ns/op
WorkloadResult   8: 8388608 op, 593688400.00 ns, 70.7732 ns/op
WorkloadResult   9: 8388608 op, 595349000.00 ns, 70.9711 ns/op
WorkloadResult  10: 8388608 op, 614611400.00 ns, 73.2674 ns/op
WorkloadResult  11: 8388608 op, 594467200.00 ns, 70.8660 ns/op
WorkloadResult  12: 8388608 op, 593358700.00 ns, 70.7339 ns/op
WorkloadResult  13: 8388608 op, 591470200.00 ns, 70.5087 ns/op
WorkloadResult  14: 8388608 op, 591682400.00 ns, 70.5340 ns/op
WorkloadResult  15: 8388608 op, 601945400.00 ns, 71.7575 ns/op
GC:  32 0 0 603979776 8388608


Mean = 71.2417 ns, StdErr = 0.2199 ns (0.31%); N = 15, StdDev = 0.8516 ns
Min = 70.4156 ns, Q1 = 70.7339 ns, Median = 70.9711 ns, Q3 = 71.7528 ns, Max = 73.2674 ns
IQR = 1.0189 ns, LowerFence = 69.2055 ns, UpperFence = 73.2812 ns
ConfidenceInterval = [70.3313 ns; 72.1521 ns] (CI 99.9%), Margin = 0.9104 ns (1.28% of Mean)
Skewness = 1.26, Kurtosis = 3.32, MValue = 2

// **************************
// Benchmark: BaseBenchmark.BasePing: InProcess(Toolchain=InProcessEmitToolchain)
// *** Execute ***
// Launch: 1 / 1

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0-preview4-27615-11 (CoreCLR 4.6.27615.73, CoreFX 4.700.19.21213), 64bit RyuJIT
// GC=Concurrent Server
// Job: Job-KAAKYE(Toolchain=InProcessEmitToolchain)

OverheadJitting  1: 1 op, 363700.00 ns, 363.7000 us/op
WorkloadJitting  1: 1 op, 877800.00 ns, 877.8000 us/op

OverheadJitting  2: 16 op, 936100.00 ns, 58.5063 us/op
WorkloadJitting  2: 16 op, 998200.00 ns, 62.3875 us/op

WorkloadPilot    1: 16 op, 5000.00 ns, 312.5000 ns/op
WorkloadPilot    2: 32 op, 2800.00 ns, 87.5000 ns/op
WorkloadPilot    3: 64 op, 2900.00 ns, 45.3125 ns/op
WorkloadPilot    4: 128 op, 4300.00 ns, 33.5938 ns/op
WorkloadPilot    5: 256 op, 7500.00 ns, 29.2969 ns/op
WorkloadPilot    6: 512 op, 14300.00 ns, 27.9297 ns/op
WorkloadPilot    7: 1024 op, 29000.00 ns, 28.3203 ns/op
WorkloadPilot    8: 2048 op, 68800.00 ns, 33.5938 ns/op
WorkloadPilot    9: 4096 op, 110900.00 ns, 27.0752 ns/op
WorkloadPilot   10: 8192 op, 229400.00 ns, 28.0029 ns/op
WorkloadPilot   11: 16384 op, 476600.00 ns, 29.0894 ns/op
WorkloadPilot   12: 32768 op, 756000.00 ns, 23.0713 ns/op
WorkloadPilot   13: 65536 op, 1768300.00 ns, 26.9821 ns/op
WorkloadPilot   14: 131072 op, 3105500.00 ns, 23.6931 ns/op
WorkloadPilot   15: 262144 op, 6297400.00 ns, 24.0227 ns/op
WorkloadPilot   16: 524288 op, 13033800.00 ns, 24.8600 ns/op
WorkloadPilot   17: 1048576 op, 24838400.00 ns, 23.6877 ns/op
WorkloadPilot   18: 2097152 op, 53068400.00 ns, 25.3050 ns/op
WorkloadPilot   19: 4194304 op, 103123400.00 ns, 24.5865 ns/op
WorkloadPilot   20: 8388608 op, 207581700.00 ns, 24.7457 ns/op
WorkloadPilot   21: 16777216 op, 433040500.00 ns, 25.8112 ns/op
WorkloadPilot   22: 33554432 op, 949798700.00 ns, 28.3062 ns/op

OverheadWarmup   1: 33554432 op, 184099900.00 ns, 5.4866 ns/op
OverheadWarmup   2: 33554432 op, 181580500.00 ns, 5.4115 ns/op
OverheadWarmup   3: 33554432 op, 184644400.00 ns, 5.5028 ns/op
OverheadWarmup   4: 33554432 op, 181749400.00 ns, 5.4166 ns/op
OverheadWarmup   5: 33554432 op, 181825200.00 ns, 5.4188 ns/op
OverheadWarmup   6: 33554432 op, 181653500.00 ns, 5.4137 ns/op

OverheadActual   1: 33554432 op, 181785700.00 ns, 5.4176 ns/op
OverheadActual   2: 33554432 op, 181584200.00 ns, 5.4116 ns/op
OverheadActual   3: 33554432 op, 182760700.00 ns, 5.4467 ns/op
OverheadActual   4: 33554432 op, 181662900.00 ns, 5.4140 ns/op
OverheadActual   5: 33554432 op, 181714500.00 ns, 5.4155 ns/op
OverheadActual   6: 33554432 op, 181781500.00 ns, 5.4175 ns/op
OverheadActual   7: 33554432 op, 181789900.00 ns, 5.4178 ns/op
OverheadActual   8: 33554432 op, 182025200.00 ns, 5.4248 ns/op
OverheadActual   9: 33554432 op, 181703900.00 ns, 5.4152 ns/op
OverheadActual  10: 33554432 op, 181994600.00 ns, 5.4239 ns/op
OverheadActual  11: 33554432 op, 182067300.00 ns, 5.4260 ns/op
OverheadActual  12: 33554432 op, 181771000.00 ns, 5.4172 ns/op
OverheadActual  13: 33554432 op, 181710600.00 ns, 5.4154 ns/op
OverheadActual  14: 33554432 op, 181596300.00 ns, 5.4120 ns/op
OverheadActual  15: 33554432 op, 181764100.00 ns, 5.4170 ns/op

WorkloadWarmup   1: 33554432 op, 949927800.00 ns, 28.3101 ns/op
WorkloadWarmup   2: 33554432 op, 957773200.00 ns, 28.5439 ns/op
WorkloadWarmup   3: 33554432 op, 949496600.00 ns, 28.2972 ns/op
WorkloadWarmup   4: 33554432 op, 963843200.00 ns, 28.7248 ns/op
WorkloadWarmup   5: 33554432 op, 964856000.00 ns, 28.7549 ns/op
WorkloadWarmup   6: 33554432 op, 949497400.00 ns, 28.2972 ns/op

WorkloadActual   1: 33554432 op, 949540600.00 ns, 28.2985 ns/op
WorkloadActual   2: 33554432 op, 948923000.00 ns, 28.2801 ns/op
WorkloadActual   3: 33554432 op, 949029400.00 ns, 28.2833 ns/op
WorkloadActual   4: 33554432 op, 949445800.00 ns, 28.2957 ns/op
WorkloadActual   5: 33554432 op, 949270400.00 ns, 28.2905 ns/op
WorkloadActual   6: 33554432 op, 949597300.00 ns, 28.3002 ns/op
WorkloadActual   7: 33554432 op, 949360900.00 ns, 28.2932 ns/op
WorkloadActual   8: 33554432 op, 950620300.00 ns, 28.3307 ns/op
WorkloadActual   9: 33554432 op, 959361900.00 ns, 28.5912 ns/op
WorkloadActual  10: 33554432 op, 949938200.00 ns, 28.3104 ns/op
WorkloadActual  11: 33554432 op, 948364800.00 ns, 28.2635 ns/op
WorkloadActual  12: 33554432 op, 948937500.00 ns, 28.2805 ns/op
WorkloadActual  13: 33554432 op, 948154800.00 ns, 28.2572 ns/op
WorkloadActual  14: 33554432 op, 948643700.00 ns, 28.2718 ns/op
WorkloadActual  15: 33554432 op, 950360200.00 ns, 28.3229 ns/op

WorkloadResult   1: 33554432 op, 767769600.00 ns, 22.8813 ns/op
WorkloadResult   2: 33554432 op, 767152000.00 ns, 22.8629 ns/op
WorkloadResult   3: 33554432 op, 767258400.00 ns, 22.8661 ns/op
WorkloadResult   4: 33554432 op, 767674800.00 ns, 22.8785 ns/op
WorkloadResult   5: 33554432 op, 767499400.00 ns, 22.8733 ns/op
WorkloadResult   6: 33554432 op, 767826300.00 ns, 22.8830 ns/op
WorkloadResult   7: 33554432 op, 767589900.00 ns, 22.8760 ns/op
WorkloadResult   8: 33554432 op, 768849300.00 ns, 22.9135 ns/op
WorkloadResult   9: 33554432 op, 768167200.00 ns, 22.8932 ns/op
WorkloadResult  10: 33554432 op, 766593800.00 ns, 22.8463 ns/op
WorkloadResult  11: 33554432 op, 767166500.00 ns, 22.8633 ns/op
WorkloadResult  12: 33554432 op, 766383800.00 ns, 22.8400 ns/op
WorkloadResult  13: 33554432 op, 766872700.00 ns, 22.8546 ns/op
WorkloadResult  14: 33554432 op, 768589200.00 ns, 22.9057 ns/op
GC:  0 0 0 0 33554432


