// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 3 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// ***** Done, took 00:00:00 (0.12 sec)   *****
// Found 3 benchmarks:
//   CustomActorBenchmarks.ProtoActorPing: InProcess(Toolchain=InProcessEmitToolchain) [Concurrency=1]
//   CustomActorBenchmarks.ProtoActorPing: InProcess(Toolchain=InProcessEmitToolchain) [Concurrency=100]
//   CustomActorBenchmarks.ProtoActorPing: InProcess(Toolchain=InProcessEmitToolchain) [Concurrency=1000]

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: CustomActorBenchmarks.ProtoActorPing: InProcess(Toolchain=InProcessEmitToolchain) [Concurrency=1]
// *** Execute ***
// Launch: 1 / 1

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0-preview4-27615-11 (CoreCLR 4.6.27615.73, CoreFX 4.700.19.21213), 64bit RyuJIT
// GC=Concurrent Server
// Job: Job-IBMQBP(Toolchain=InProcessEmitToolchain)

WorkloadActual  15: 4194304 op, 736637600.00 ns, 175.6281 ns/op

WorkloadResult   1: 4194304 op, 723538200.00 ns, 172.5049 ns/op
WorkloadResult   2: 4194304 op, 725857100.00 ns, 173.0578 ns/op
WorkloadResult   3: 4194304 op, 725104400.00 ns, 172.8784 ns/op
WorkloadResult   4: 4194304 op, 721910000.00 ns, 172.1168 ns/op
WorkloadResult   5: 4194304 op, 723770200.00 ns, 172.5603 ns/op
WorkloadResult   6: 4194304 op, 729515200.00 ns, 173.9300 ns/op
WorkloadResult   7: 4194304 op, 721493200.00 ns, 172.0174 ns/op
WorkloadResult   8: 4194304 op, 733006000.00 ns, 174.7622 ns/op
WorkloadResult   9: 4194304 op, 728604000.00 ns, 173.7127 ns/op
WorkloadResult  10: 4194304 op, 733307500.00 ns, 174.8341 ns/op
WorkloadResult  11: 4194304 op, 722999400.00 ns, 172.3765 ns/op
WorkloadResult  12: 4194304 op, 724307900.00 ns, 172.6885 ns/op
WorkloadResult  13: 4194304 op, 731270000.00 ns, 174.3484 ns/op
WorkloadResult  14: 4194304 op, 727812100.00 ns, 173.5239 ns/op
GC:  48 0 0 905969664 4194304


Mean = 173.2366 ns, StdErr = 0.2551 ns (0.15%); N = 14, StdDev = 0.9543 ns
Min = 172.0174 ns, Q1 = 172.5049 ns, Median = 172.9681 ns, Q3 = 173.9300 ns, Max = 174.8341 ns
IQR = 1.4250 ns, LowerFence = 170.3674 ns, UpperFence = 176.0675 ns
ConfidenceInterval = [172.1600 ns; 174.3131 ns] (CI 99.9%), Margin = 1.0765 ns (0.62% of Mean)
Skewness = 0.39, Kurtosis = 1.61, MValue = 2

// **************************
// Benchmark: CustomActorBenchmarks.ProtoActorPing: InProcess(Toolchain=InProcessEmitToolchain) [Concurrency=100]
// *** Execute ***
// Launch: 1 / 1

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0-preview4-27615-11 (CoreCLR 4.6.27615.73, CoreFX 4.700.19.21213), 64bit RyuJIT
// GC=Concurrent Server
// Job: Job-IBMQBP(Toolchain=InProcessEmitToolchain)

OverheadJitting  1: 1 op, 348700.00 ns, 348.7000 us/op
WorkloadJitting  1: 1 op, 1639200.00 ns, 1.6392 ms/op

OverheadJitting  2: 16 op, 388400.00 ns, 24.2750 us/op
WorkloadJitting  2: 16 op, 786200.00 ns, 49.1375 us/op

WorkloadPilot    1: 16 op, 381800.00 ns, 23.8625 us/op
WorkloadPilot    2: 32 op, 699400.00 ns, 21.8562 us/op
WorkloadPilot    3: 64 op, 1578100.00 ns, 24.6578 us/op
WorkloadPilot    4: 128 op, 2758300.00 ns, 21.5492 us/op
WorkloadPilot    5: 256 op, 6342800.00 ns, 24.7766 us/op
WorkloadPilot    6: 512 op, 11321300.00 ns, 22.1119 us/op
WorkloadPilot    7: 1024 op, 23782300.00 ns, 23.2249 us/op
WorkloadPilot    8: 2048 op, 44721800.00 ns, 21.8368 us/op
WorkloadPilot    9: 4096 op, 89998500.00 ns, 21.9723 us/op
WorkloadPilot   10: 8192 op, 194638500.00 ns, 23.7596 us/op
WorkloadPilot   11: 16384 op, 363727500.00 ns, 22.2002 us/op
WorkloadPilot   12: 32768 op, 725748800.00 ns, 22.1481 us/op

OverheadWarmup   1: 32768 op, 105600.00 ns, 3.2227 ns/op
OverheadWarmup   2: 32768 op, 100100.00 ns, 3.0548 ns/op
OverheadWarmup   3: 32768 op, 88300.00 ns, 2.6947 ns/op
OverheadWarmup   4: 32768 op, 71900.00 ns, 2.1942 ns/op
OverheadWarmup   5: 32768 op, 70700.00 ns, 2.1576 ns/op
OverheadWarmup   6: 32768 op, 73100.00 ns, 2.2308 ns/op
OverheadWarmup   7: 32768 op, 71000.00 ns, 2.1667 ns/op
OverheadWarmup   8: 32768 op, 72600.00 ns, 2.2156 ns/op
OverheadWarmup   9: 32768 op, 93400.00 ns, 2.8503 ns/op
OverheadWarmup  10: 32768 op, 72400.00 ns, 2.2095 ns/op

OverheadActual   1: 32768 op, 72900.00 ns, 2.2247 ns/op
OverheadActual   2: 32768 op, 70000.00 ns, 2.1362 ns/op
OverheadActual   3: 32768 op, 70400.00 ns, 2.1484 ns/op
OverheadActual   4: 32768 op, 70600.00 ns, 2.1545 ns/op
OverheadActual   5: 32768 op, 71500.00 ns, 2.1820 ns/op
OverheadActual   6: 32768 op, 70600.00 ns, 2.1545 ns/op
OverheadActual   7: 32768 op, 96200.00 ns, 2.9358 ns/op
OverheadActual   8: 32768 op, 70700.00 ns, 2.1576 ns/op
OverheadActual   9: 32768 op, 71600.00 ns, 2.1851 ns/op
OverheadActual  10: 32768 op, 93900.00 ns, 2.8656 ns/op
OverheadActual  11: 32768 op, 69800.00 ns, 2.1301 ns/op
OverheadActual  12: 32768 op, 71700.00 ns, 2.1881 ns/op
OverheadActual  13: 32768 op, 70900.00 ns, 2.1637 ns/op
OverheadActual  14: 32768 op, 81800.00 ns, 2.4963 ns/op
OverheadActual  15: 32768 op, 71400.00 ns, 2.1790 ns/op

WorkloadWarmup   1: 32768 op, 735399400.00 ns, 22.4426 us/op
WorkloadWarmup   2: 32768 op, 712760400.00 ns, 21.7517 us/op
WorkloadWarmup   3: 32768 op, 718791700.00 ns, 21.9358 us/op
WorkloadWarmup   4: 32768 op, 713739300.00 ns, 21.7816 us/op
WorkloadWarmup   5: 32768 op, 719992200.00 ns, 21.9724 us/op
WorkloadWarmup   6: 32768 op, 719173400.00 ns, 21.9474 us/op

WorkloadActual   1: 32768 op, 714871900.00 ns, 21.8162 us/op
