// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 3 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// ***** Done, took 00:00:00 (0.13 sec)   *****
// Found 3 benchmarks:
//   AkkaBenchmarks.AkkaPing: InProcess(Toolchain=InProcessEmitToolchain) [Concurrency=1]
//   AkkaBenchmarks.AkkaPing: InProcess(Toolchain=InProcessEmitToolchain) [Concurrency=100]
//   AkkaBenchmarks.AkkaPing: InProcess(Toolchain=InProcessEmitToolchain) [Concurrency=1000]

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: AkkaBenchmarks.AkkaPing: InProcess(Toolchain=InProcessEmitToolchain) [Concurrency=1]
// *** Execute ***
// Launch: 1 / 1

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0-preview4-27615-11 (CoreCLR 4.6.27615.73, CoreFX 4.700.19.21213), 64bit RyuJIT
// GC=Concurrent Server
// Job: Job-VNIDHJ(Toolchain=InProcessEmitToolchain)

WorkloadActual  13: 65536 op, 531226200.00 ns, 8.1059 us/op
WorkloadActual  14: 65536 op, 535999500.00 ns, 8.1787 us/op
WorkloadActual  15: 65536 op, 530872200.00 ns, 8.1005 us/op
WorkloadActual  16: 65536 op, 542806000.00 ns, 8.2826 us/op
WorkloadActual  17: 65536 op, 543221400.00 ns, 8.2889 us/op
WorkloadActual  18: 65536 op, 533210300.00 ns, 8.1361 us/op
WorkloadActual  19: 65536 op, 541844300.00 ns, 8.2679 us/op
WorkloadActual  20: 65536 op, 533198900.00 ns, 8.1360 us/op
WorkloadActual  21: 65536 op, 560338100.00 ns, 8.5501 us/op
WorkloadActual  22: 65536 op, 544987300.00 ns, 8.3158 us/op
WorkloadActual  23: 65536 op, 548941700.00 ns, 8.3762 us/op
WorkloadActual  24: 65536 op, 623645300.00 ns, 9.5161 us/op
WorkloadActual  25: 65536 op, 620852300.00 ns, 9.4735 us/op
WorkloadActual  26: 65536 op, 536671800.00 ns, 8.1890 us/op
WorkloadActual  27: 65536 op, 559538100.00 ns, 8.5379 us/op
WorkloadActual  28: 65536 op, 529463000.00 ns, 8.0790 us/op

WorkloadResult   1: 65536 op, 544698300.00 ns, 8.3114 us/op
WorkloadResult   2: 65536 op, 538447000.00 ns, 8.2160 us/op
WorkloadResult   3: 65536 op, 531661300.00 ns, 8.1125 us/op
WorkloadResult   4: 65536 op, 556272600.00 ns, 8.4880 us/op
WorkloadResult   5: 65536 op, 577923600.00 ns, 8.8184 us/op
WorkloadResult   6: 65536 op, 581700200.00 ns, 8.8760 us/op
WorkloadResult   7: 65536 op, 551337300.00 ns, 8.4127 us/op
WorkloadResult   8: 65536 op, 570715000.00 ns, 8.7084 us/op
WorkloadResult   9: 65536 op, 556397100.00 ns, 8.4899 us/op
WorkloadResult  10: 65536 op, 559356900.00 ns, 8.5351 us/op
WorkloadResult  11: 65536 op, 538033900.00 ns, 8.2097 us/op
WorkloadResult  12: 65536 op, 534113600.00 ns, 8.1499 us/op
WorkloadResult  13: 65536 op, 531087300.00 ns, 8.1037 us/op
WorkloadResult  14: 65536 op, 535860600.00 ns, 8.1766 us/op
WorkloadResult  15: 65536 op, 530733300.00 ns, 8.0983 us/op
WorkloadResult  16: 65536 op, 542667100.00 ns, 8.2804 us/op
WorkloadResult  17: 65536 op, 543082500.00 ns, 8.2868 us/op
WorkloadResult  18: 65536 op, 533071400.00 ns, 8.1340 us/op
WorkloadResult  19: 65536 op, 541705400.00 ns, 8.2658 us/op
WorkloadResult  20: 65536 op, 533060000.00 ns, 8.1339 us/op
WorkloadResult  21: 65536 op, 560199200.00 ns, 8.5480 us/op
WorkloadResult  22: 65536 op, 544848400.00 ns, 8.3137 us/op
WorkloadResult  23: 65536 op, 548802800.00 ns, 8.3741 us/op
WorkloadResult  24: 65536 op, 536532900.00 ns, 8.1868 us/op
WorkloadResult  25: 65536 op, 559399200.00 ns, 8.5358 us/op
WorkloadResult  26: 65536 op, 529324100.00 ns, 8.0768 us/op
GC:  5 0 0 90675824 65536


Mean = 8.3401 us, StdErr = 0.0443 us (0.53%); N = 26, StdDev = 0.2258 us
Min = 8.0768 us, Q1 = 8.1499 us, Median = 8.2836 us, Q3 = 8.4899 us, Max = 8.8760 us
IQR = 0.3400 us, LowerFence = 7.6399 us, UpperFence = 9.0000 us
ConfidenceInterval = [8.1752 us; 8.5051 us] (CI 99.9%), Margin = 0.1650 us (1.98% of Mean)
