// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 6 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// ***** Done, took 00:00:00 (0.13 sec)   *****
// Found 3 benchmarks:
//   OrleansBenchmarks.OrleansPing: InProcess(Toolchain=InProcessEmitToolchain) [Concurrency=1]
//   OrleansBenchmarks.OrleansPing: InProcess(Toolchain=InProcessEmitToolchain) [Concurrency=100]
//   OrleansBenchmarks.OrleansPing: InProcess(Toolchain=InProcessEmitToolchain) [Concurrency=1000]

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: OrleansBenchmarks.OrleansPing: InProcess(Toolchain=InProcessEmitToolchain) [Concurrency=1]
// *** Execute ***
// Launch: 1 / 1

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0-preview4-27615-11 (CoreCLR 4.6.27615.73, CoreFX 4.700.19.21213), 64bit RyuJIT
// GC=Concurrent Server
// Job: Job-UTASSH(Toolchain=InProcessEmitToolchain)

WorkloadActual  19: 65536 op, 826411400.00 ns, 12.6100 us/op

WorkloadResult   1: 65536 op, 847651900.00 ns, 12.9341 us/op
WorkloadResult   2: 65536 op, 822240700.00 ns, 12.5464 us/op
WorkloadResult   3: 65536 op, 828495400.00 ns, 12.6418 us/op
WorkloadResult   4: 65536 op, 820603000.00 ns, 12.5214 us/op
WorkloadResult   5: 65536 op, 812856100.00 ns, 12.4032 us/op
WorkloadResult   6: 65536 op, 818843100.00 ns, 12.4946 us/op
WorkloadResult   7: 65536 op, 843026500.00 ns, 12.8636 us/op
WorkloadResult   8: 65536 op, 825624400.00 ns, 12.5980 us/op
WorkloadResult   9: 65536 op, 844655500.00 ns, 12.8884 us/op
WorkloadResult  10: 65536 op, 813461100.00 ns, 12.4124 us/op
WorkloadResult  11: 65536 op, 828553300.00 ns, 12.6427 us/op
WorkloadResult  12: 65536 op, 886780700.00 ns, 13.5312 us/op
WorkloadResult  13: 65536 op, 818636500.00 ns, 12.4914 us/op
WorkloadResult  14: 65536 op, 820603800.00 ns, 12.5214 us/op
WorkloadResult  15: 65536 op, 842548300.00 ns, 12.8563 us/op
WorkloadResult  16: 65536 op, 826271800.00 ns, 12.6079 us/op
GC:  7 0 0 115432160 65536


Mean = 12.6847 us, StdErr = 0.0707 us (0.56%); N = 16, StdDev = 0.2826 us
Min = 12.4032 us, Q1 = 12.5080 us, Median = 12.6030 us, Q3 = 12.8599 us, Max = 13.5312 us
IQR = 0.3519 us, LowerFence = 11.9801 us, UpperFence = 13.3878 us
ConfidenceInterval = [12.3969 us; 12.9724 us] (CI 99.9%), Margin = 0.2878 us (2.27% of Mean)
Skewness = 1.58, Kurtosis = 5.26, MValue = 2

// **************************
// Benchmark: OrleansBenchmarks.OrleansPing: InProcess(Toolchain=InProcessEmitToolchain) [Concurrency=100]
// *** Execute ***
// Launch: 1 / 1

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0-preview4-27615-11 (CoreCLR 4.6.27615.73, CoreFX 4.700.19.21213), 64bit RyuJIT
// GC=Concurrent Server
// Job: Job-UTASSH(Toolchain=InProcessEmitToolchain)

OverheadJitting  1: 1 op, 340200.00 ns, 340.2000 us/op
WorkloadJitting  1: 1 op, 1639400.00 ns, 1.6394 ms/op

OverheadJitting  2: 16 op, 393900.00 ns, 24.6187 us/op
WorkloadJitting  2: 16 op, 11075600.00 ns, 692.2250 us/op

WorkloadPilot    1: 16 op, 10876700.00 ns, 679.7938 us/op
WorkloadPilot    2: 32 op, 21953800.00 ns, 686.0562 us/op
WorkloadPilot    3: 64 op, 42694900.00 ns, 667.1078 us/op
WorkloadPilot    4: 128 op, 88646300.00 ns, 692.5492 us/op
WorkloadPilot    5: 256 op, 170972100.00 ns, 667.8598 us/op
WorkloadPilot    6: 512 op, 336077800.00 ns, 656.4020 us/op
WorkloadPilot    7: 1024 op, 685093400.00 ns, 669.0365 us/op

OverheadWarmup   1: 1024 op, 13500.00 ns, 13.1836 ns/op
OverheadWarmup   2: 1024 op, 3800.00 ns, 3.7109 ns/op
OverheadWarmup   3: 1024 op, 3400.00 ns, 3.3203 ns/op
OverheadWarmup   4: 1024 op, 3900.00 ns, 3.8086 ns/op
OverheadWarmup   5: 1024 op, 3800.00 ns, 3.7109 ns/op
OverheadWarmup   6: 1024 op, 3500.00 ns, 3.4180 ns/op
OverheadWarmup   7: 1024 op, 3400.00 ns, 3.3203 ns/op
OverheadWarmup   8: 1024 op, 3500.00 ns, 3.4180 ns/op
OverheadWarmup   9: 1024 op, 3400.00 ns, 3.3203 ns/op

OverheadActual   1: 1024 op, 3500.00 ns, 3.4180 ns/op
OverheadActual   2: 1024 op, 3700.00 ns, 3.6133 ns/op
OverheadActual   3: 1024 op, 3400.00 ns, 3.3203 ns/op
OverheadActual   4: 1024 op, 3600.00 ns, 3.5156 ns/op
OverheadActual   5: 1024 op, 6800.00 ns, 6.6406 ns/op
OverheadActual   6: 1024 op, 3800.00 ns, 3.7109 ns/op
OverheadActual   7: 1024 op, 3400.00 ns, 3.3203 ns/op
OverheadActual   8: 1024 op, 5700.00 ns, 5.5664 ns/op
